utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-06-05T18:00:00Z,5.789,,206.637,73.045,692.604,4.301
2015-06-05T19:00:00Z,5.789,,207.168,73.404,692.604,4.301
2015-06-05T20:00:00Z,5.789,,207.667,73.725,692.604,4.301
2015-06-05T21:00:00Z,5.789,,208.042,74.055,692.604,4.301
2015-06-05T22:00:00Z,5.789,,208.372,74.365,692.604,4.301
2015-06-05T23:00:00Z,5.789,,208.713,74.375,692.604,4.301
2015-06-06T00:00:00Z,5.789,,209.047,74.395,692.604,4.301
2015-06-06T01:00:00Z,5.789,,209.367,74.404,692.604,4.301
2015-06-06T02:00:00Z,5.789,,209.718,74.419,692.604,4.301
2015-06-06T03:00:00Z,5.789,,210.048,74.49,692.62,4.301
2015-06-06T04:00:00Z,5.789,,210.432,75.225,692.929,4.301
2015-06-06T05:00:00Z,5.789,,210.792,75.234,694.091,4.302
2015-06-06T06:00:00Z,5.789,,211.242,75.254,697.317,4.302
